name,type,city,phone,email,website_status,demo_url,text_message,email_subject,email_body
Holy Nails & Spa,nail salon,Mississauga ON,+1 905-812-3201,,no website,https://demos.wrenchdigital.ca/holy-nails-spa,"Hey, I'm Shaan from Wrench Digital. Check out your free nail salon website demo: https://demos.wrenchdigital.ca/holy-nails-spa",Elevate Holy Nails & Spa with a Professional Website,"Hi Holy Nails & Spa, I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd like to help. Check out a free demo: https://demos.wrenchdigital.ca/holy-nails-spa. Let's discuss how a website can boost your business."
LC Nails & Spa,nail salon,Mississauga ON,+1 905-276-6245,,no website,https://demos.wrenchdigital.ca/lc-nails-spa,"Hey LC Nails & Spa, check out your free demo website: https://demos.wrenchdigital.ca/lc-nails-spa",Get Online with a Stunning Website for LC Nails & Spa,"Hi LC Nails & Spa, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/lc-nails-spa. Let's chat about getting you online."
"HT Nails Spa - Nail salon Mississauga, ONT",nail salon,Mississauga ON,+1 905-916-8687,,no website,https://demos.wrenchdigital.ca/ht-nails-spa-nail-salon-mississauga-ont,"Hey HT Nails Spa, check out your free demo website: https://demos.wrenchdigital.ca/ht-nails-spa-nail-salon-mississauga-ont",Boost Your Nail Salon's Online Presence,"Hi HT Nails Spa, I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd love to help. Check out a free demo: https://demos.wrenchdigital.ca/ht-nails-spa-nail-salon-mississauga-ont"
Safari Barbershop,barber,Mississauga ON,+1 905-271-0999,,no website,https://demos.wrenchdigital.ca/safari-barbershop,"Hey Safari Barbershop, I'm Shaan from Wrench Digital. Free demo: https://demos.wrenchdigital.ca/safari-barbershop",Boost Your Barber Shop's Online Presence,"Hi Safari Barbershop, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to help! Check out a free demo: https://demos.wrenchdigital.ca/safari-barbershop. Let's chat!"
Lorne Park Barbershop,barber,Mississauga ON,+1 905-500-6460,,no website,https://demos.wrenchdigital.ca/lorne-park-barbershop,"Hey Lorne Park Barbershop, check out your free demo website: https://demos.wrenchdigital.ca/lorne-park-barbershop",Boost Your Barbershop's Online Presence,"Hi Lorne Park Barbershop, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/lorne-park-barbershop. Let's chat about getting you online."
Independent Automotive Repairs Ltd,auto repair,Mississauga ON,+1 905-858-3398,,no website,https://demos.wrenchdigital.ca/independent-automotive-repairs-ltd,"Hey, free demo for Independent Automotive Repairs Ltd: https://demos.wrenchdigital.ca/independent-automotive-repairs-ltd",Boost Your Auto Repair Business Online,"Hi Independent Automotive Repairs Ltd, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/independent-automotive-repairs-ltd"
AEZ Auto Repair Centre,auto repair,Mississauga ON,+1 905-463-0260,,no website,https://demos.wrenchdigital.ca/aez-auto-repair-centre,"Hi AEZ, check out your free demo website: https://demos.wrenchdigital.ca/aez-auto-repair-centre",Grow Your Auto Repair Business Online,"Hi AEZ Auto Repair Centre, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/aez-auto-repair-centre. Let's discuss how a website can help your business."
Speedy Auto Service Mississauga West,auto repair,Mississauga ON,+1 905-306-7818,,no website,https://demos.wrenchdigital.ca/speedy-auto-service-mississauga-west,"Hey Speedy Auto, check out your free auto repair website demo: https://demos.wrenchdigital.ca/speedy-auto-service-mississauga-west",Boost Your Auto Repair Business Online,"Hi Speedy Auto Service, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer you a free demo: https://demos.wrenchdigital.ca/speedy-auto-service-mississauga-west. Let's get you online!"
HPower Auto Repair,auto repair,Mississauga ON,+1 905-273-4999,,no website,https://demos.wrenchdigital.ca/hpower-auto-repair,"Hey HPower Auto Repair, check out your free demo website: https://demos.wrenchdigital.ca/hpower-auto-repair",Get Online with a Professional Website,"Hi HPower Auto Repair, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/hpower-auto-repair. Let's get you online!"
Laird Automotive Service,auto repair,Mississauga ON,+1 905-569-6367,,no website,https://demos.wrenchdigital.ca/laird-automotive-service,"Hey Laird Automotive, check out your free demo website: https://demos.wrenchdigital.ca/laird-automotive-service",Get Online with a Professional Website,"Hi Laird Automotive Service, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/laird-automotive-service. Let's get you online!"
